,cm_overall,epochs,network,pct_white,test_size,training_size,p_cm,P_cm,r_cm,R_cm,n_cm,N_cm,b_cm,B_cm,q_cm,Q_cm,k_cm,K_cm,white_cm,black_cm
1,"[[3789 3805]
 [1139 1267]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[418 143]
 [440 182]]","[[545  61]
 [543  77]]","[[237 144]
 [257 190]]","[[384 117]
 [403 108]]","[[197  84]
 [221  94]]","[[364  51]
 [329  52]]","[[224 109]
 [203  94]]","[[333  48]
 [319  47]]","[[255 104]
 [247 128]]","[[345  61]
 [404  79]]","[[184 122]
 [187 112]]","[[303  95]
 [252 104]]","[[2274  433]
 [2250  467]]","[[1515  706]
 [1555  800]]"
1,"[[2470 2379]
 [2458 2693]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[378 183]
 [396 226]]","[[210 396]
 [184 436]]","[[226 155]
 [227 220]]","[[238 263]
 [228 283]]","[[188  93]
 [199 116]]","[[122 293]
 [112 269]]","[[209 124]
 [181 116]]","[[141 240]
 [109 257]]","[[224 135]
 [224 151]]","[[156 250]
 [195 288]]","[[188 118]
 [172 127]]","[[190 208]
 [152 204]]","[[1057 1650]
 [ 980 1737]]","[[1413  808]
 [1399  956]]"
1,"[[2654 2540]
 [2274 2532]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,1000,"[[309 252]
 [308 314]]","[[342 264]
 [298 322]]","[[198 183]
 [208 239]]","[[273 228]
 [283 228]]","[[163 118]
 [155 160]]","[[211 204]
 [174 207]]","[[171 162]
 [164 133]]","[[205 176]
 [172 194]]","[[198 161]
 [172 203]]","[[206 200]
 [272 211]]","[[160 146]
 [154 145]]","[[218 180]
 [180 176]]","[[1455 1252]
 [1379 1338]]","[[1199 1022]
 [1161 1194]]"
1,"[[3108 2636]
 [1820 2436]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[377 184]
 [338 284]]","[[433 173]
 [292 328]]","[[182 199]
 [183 264]]","[[310 191]
 [286 225]]","[[179 102]
 [189 126]]","[[294 121]
 [224 157]]","[[199 134]
 [177 120]]","[[272 109]
 [213 153]]","[[200 159]
 [148 227]]","[[264 142]
 [265 218]]","[[163 143]
 [136 163]]","[[235 163]
 [185 171]]","[[1808  899]
 [1465 1252]]","[[1300  921]
 [1171 1184]]"
1,"[[2187 1501]
 [2741 3571]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[ 99 462]
 [ 40 582]]","[[428 178]
 [235 385]]","[[114 267]
 [ 84 363]]","[[277 224]
 [232 279]]","[[ 41 240]
 [ 27 288]]","[[280 135]
 [174 207]]","[[ 70 263]
 [ 43 254]]","[[247 134]
 [193 173]]","[[ 74 285]
 [ 42 333]]","[[243 163]
 [201 282]]","[[ 95 211]
 [ 75 224]]","[[219 179]
 [155 201]]","[[1694 1013]
 [1190 1527]]","[[ 493 1728]
 [ 311 2044]]"
1,"[[3671 3019]
 [1257 2053]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,10000,"[[389 172]
 [206 416]]","[[528  78]
 [452 168]]","[[224 157]
 [225 222]]","[[367 134]
 [343 168]]","[[208  73]
 [171 144]]","[[370  45]
 [282  99]]","[[226 107]
 [172 125]]","[[337  44]
 [282  84]]","[[225 134]
 [173 202]]","[[321  85]
 [352 131]]","[[183 123]
 [155 144]]","[[293 105]
 [206 150]]","[[2216  491]
 [1917  800]]","[[1455  766]
 [1102 1253]]"
1,"[[3153 1343]
 [1775 3729]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[356 205]
 [ 77 545]]","[[439 167]
 [ 87 533]]","[[222 159]
 [162 285]]","[[285 216]
 [167 344]]","[[179 102]
 [104 211]]","[[315 100]
 [132 249]]","[[215 118]
 [102 195]]","[[279 102]
 [147 219]]","[[212 147]
 [ 80 295]]","[[266 140]
 [126 357]]","[[147 159]
 [ 79 220]]","[[238 160]
 [ 80 276]]","[[1822  885]
 [ 739 1978]]","[[1331  890]
 [ 604 1751]]"
1,"[[3490 1701]
 [1438 3371]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[372 189]
 [ 89 533]]","[[487 119]
 [138 482]]","[[243 138]
 [179 268]]","[[337 164]
 [227 284]]","[[194  87]
 [114 201]]","[[334  81]
 [172 209]]","[[226 107]
 [109 188]]","[[301  80]
 [188 178]]","[[233 126]
 [ 99 276]]","[[310  96]
 [180 303]]","[[183 123]
 [ 96 203]]","[[270 128]
 [110 246]]","[[2039  668]
 [1015 1702]]","[[1451  770]
 [ 686 1669]]"
1,"[[3127 1305]
 [1801 3767]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,100000,"[[262 299]
 [ 50 572]]","[[471 135]
 [117 503]]","[[206 175]
 [ 98 349]]","[[335 166]
 [194 317]]","[[141 140]
 [ 49 266]]","[[335  80]
 [186 195]]","[[185 148]
 [ 53 244]]","[[301  80]
 [182 184]]","[[181 178]
 [ 50 325]]","[[310  96]
 [160 323]]","[[144 162]
 [ 67 232]]","[[256 142]
 [ 99 257]]","[[2008  699]
 [ 938 1779]]","[[1119 1102]
 [ 367 1988]]"
1,"[[3327  488]
 [1601 4584]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[414 147]
 [ 81 541]]","[[410 196]
 [ 42 578]]","[[264 117]
 [ 68 379]]","[[303 198]
 [ 52 459]]","[[205  76]
 [ 28 287]]","[[287 128]
 [ 20 361]]","[[247  86]
 [ 44 253]]","[[246 135]
 [ 29 337]]","[[259 100]
 [ 48 327]]","[[260 146]
 [ 30 453]]","[[194 112]
 [ 30 269]]","[[238 160]
 [ 16 340]]","[[1744  963]
 [ 189 2528]]","[[1583  638]
 [ 299 2056]]"
1,"[[3821  467]
 [1107 4605]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[440 121]
 [ 42 580]]","[[506 100]
 [ 61 559]]","[[271 110]
 [ 54 393]]","[[359 142]
 [ 61 450]]","[[214  67]
 [ 28 287]]","[[363  52]
 [ 37 344]]","[[250  83]
 [ 35 262]]","[[313  68]
 [ 40 326]]","[[275  84]
 [ 23 352]]","[[321  85]
 [ 43 440]]","[[220  86]
 [ 24 275]]","[[289 109]
 [ 19 337]]","[[2151  556]
 [ 261 2456]]","[[1670  551]
 [ 206 2149]]"
1,"[[4093  591]
 [ 835 4481]]",7,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[465  96]
 [ 44 578]]","[[525  81]
 [ 96 524]]","[[301  80]
 [ 58 389]]","[[398 103]
 [ 74 437]]","[[238  43]
 [ 28 287]]","[[370  45]
 [ 60 321]]","[[280  53]
 [ 39 258]]","[[335  46]
 [ 57 309]]","[[301  58]
 [ 39 336]]","[[333  73]
 [ 47 436]]","[[236  70]
 [ 26 273]]","[[311  87]
 [ 23 333]]","[[2272  435]
 [ 357 2360]]","[[1821  400]
 [ 234 2121]]"
1,"[[3342  489]
 [1586 4583]]",3,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[397 164]
 [ 77 545]]","[[417 189]
 [ 54 566]]","[[262 119]
 [ 57 390]]","[[290 211]
 [ 43 468]]","[[201  80]
 [ 26 289]]","[[290 125]
 [ 27 354]]","[[246  87]
 [ 49 248]]","[[260 121]
 [ 42 324]]","[[258 101]
 [ 33 342]]","[[275 131]
 [ 31 452]]","[[201 105]
 [ 28 271]]","[[245 153]
 [ 22 334]]","[[1777  930]
 [ 219 2498]]","[[1565  656]
 [ 270 2085]]"
1,"[[3818  441]
 [1110 4631]]",5,"{""layers"": [{""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""input_shape"": [1536], ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 64}, {""beta"": 0.1, ""activation"": ""tanh"", ""name"": ""Activation"", ""target"": 0}, {""p"": 0.2, ""name"": ""Dropout""}, {""b_constraint"": null, ""name"": ""Dense"", ""activity_regularizer"": null, ""W_constraint"": null, ""init"": ""glorot_uniform"", ""activation"": ""linear"", ""input_dim"": null, ""b_regularizer"": null, ""W_regularizer"": null, ""output_dim"": 2}, {""beta"": 0.1, ""activation"": ""softmax"", ""name"": ""Activation"", ""target"": 0}], ""loss"": ""categorical_crossentropy"", ""theano_mode"": null, ""name"": ""Sequential"", ""class_mode"": ""categorical"", ""optimizer"": {""epsilon"": 1e-06, ""lr"": 0.0010000000474974513, ""name"": ""RMSprop"", ""rho"": 0.8999999761581421}}",0.5072,10000,584268,"[[465  96]
 [ 54 568]]","[[480 126]
 [ 46 574]]","[[289  92]
 [ 54 393]]","[[345 156]
 [ 49 462]]","[[229  52]
 [ 34 281]]","[[336  79]
 [ 22 359]]","[[269  64]
 [ 53 244]]","[[301  80]
 [ 18 348]]","[[291  68]
 [ 37 338]]","[[296 110]
 [ 34 449]]","[[228  78]
 [ 23 276]]","[[289 109]
 [ 17 339]]","[[2047  660]
 [ 186 2531]]","[[1771  450]
 [ 255 2100]]"
